                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68817,                 3.7837,                  1.271,                0.77748,                 0.2262,                0.13684,                0.12116,                0.99382,                 3.2416,                  1.788,             0.00046877,             0.00046877,             0.00046877
                      2,                0.66181,                 3.5871,                 1.2512,                 0.8379,                0.19333,                0.27098,                0.20593,                  1.419,                 4.9115,                 2.3028,             0.00085154,             0.00085154,             0.00085154
                      3,                0.81615,                 3.3413,                 1.3276,                0.10064,                0.54583,                0.20617,                0.13522,                 1.1733,                 3.6412,                 2.2358,                0.00114,                0.00114,                0.00114
                      4,                0.84408,                 2.9235,                 1.3872,                0.26778,                0.42853,                0.39063,                0.29249,                 1.4434,                 3.9876,                 2.0744,              0.0010046,              0.0010046,              0.0010046
                      5,                0.76098,                 2.5496,                  1.254,                0.31973,                0.39617,                0.42023,                0.27058,                 1.4072,                 2.3325,                 2.2446,             0.00086312,             0.00086312,             0.00086312
                      6,                0.62297,                 2.1571,                  1.152,                 0.7371,                0.61715,                0.51623,                0.43214,                 1.1357,                 1.9894,                 1.7333,             0.00072164,             0.00072164,             0.00072164
                      7,                0.54035,                  1.888,                 1.0728,                0.88418,                0.54248,                0.64086,                0.54031,                0.92011,                 1.7729,                 1.7521,             0.00058017,             0.00058017,             0.00058017
                      8,                0.48953,                 1.6918,                 1.0298,                0.44383,                0.60384,                0.60334,                0.53587,                0.86166,                 1.9515,                 1.6033,              0.0004387,              0.0004387,              0.0004387
                      9,                0.45773,                 1.4993,                0.98673,                0.48843,                0.64575,                 0.7237,                0.61235,                0.86978,                 1.5303,                 1.6065,             0.00029723,             0.00029723,             0.00029723
                     10,                0.45431,                  1.375,                0.98945,                0.63837,                0.63509,                0.71363,                0.59495,                 0.9266,                 1.5965,                 1.7582,             0.00015576,             0.00015576,             0.00015576
